studentNUID,firstNames,lastName,dateOfBirth,email,gender,livingOnCampus,graduationDate,geographySK,hometownStudentSK,numberOfCreditCompleted,numberOfCreditToDegree,Nationality
1056242,Allison,Williams,1914-06-20,allison.w@northeastern.edu,F,No,2025-09-10,100226,500226,8,24,El Salvador
4592678,Steven,Velasquez,1927-03-05,steven.v@northeastern.edu,M,No,2025-07-17,100227,500227,12,20,Brunei Darussalam
3138512,Crystal,Harris,1979-11-23,crystal.h@northeastern.edu,F,No,2024-01-24,100228,500228,16,16,Comoros
4152316,Matthew,White,2001-01-30,matthew.w@northeastern.edu,M,No,2024-08-11,100229,500229,8,24,San Marino
6785126,Andrew,Owen,1926-12-31,andrew.o@northeastern.edu,F,No,2022-06-21,100230,500230,4,28,Turkey
4104833,Adam,Chan,1973-05-06,adam.c@northeastern.edu,M,No,2023-08-24,100231,500231,8,24,Bahrain
9241033,Mary,Crosby,1920-01-30,mary.c@northeastern.edu,F,No,2022-01-02,100232,500232,12,20,Nicaragua
7404083,Maria,Conrad,1962-01-25,maria.c@northeastern.edu,M,No,2025-11-04,100233,500233,8,24,Mauritius
9695661,Sonya,Ramos,1922-07-28,sonya.r@northeastern.edu,F,No,2025-03-13,100234,500234,16,16,Greece
5896419,Alexis,Greene,1956-08-07,alexis.g@northeastern.edu,M,No,2025-11-26,100235,500235,12,20,Portugal
9451903,Sandra,Gregory,1954-02-09,sandra.g@northeastern.edu,F,No,2022-01-11,100236,500236,8,24,Belgium
4054535,Angela,Hickman,1998-01-16,angela.h@northeastern.edu,M,No,2022-08-04,100237,500237,16,16,Malta
6341848,Emily,Dunn,1938-06-17,emily.d@northeastern.edu,F,No,2024-09-23,100238,500238,12,20,Turks and Caicos Islands
4832924,Bonnie,Lambert,1971-05-13,bonnie.l@northeastern.edu,M,No,2024-08-09,100239,500239,8,24,Poland
6547198,Sarah,Estes,1998-08-15,sarah.e@northeastern.edu,F,No,2024-11-24,100240,500240,8,24,Pakistan
3959246,Elizabeth,Montoya,2012-07-02,elizabeth.m@northeastern.edu,M,No,2024-06-02,100241,500241,4,28,Belgium
2420836,Larry,Maxwell,1957-10-25,larry.m@northeastern.edu,F,No,2025-08-01,100242,500242,8,24,Falkland Islands (Malvinas)
4689306,Elizabeth,Rogers,1985-05-29,elizabeth.r@northeastern.edu,M,No,2023-03-27,100243,500243,16,16,Oman
1623563,Jesse,Williams,1953-12-16,jesse.w@northeastern.edu,F,No,2023-10-06,100244,500244,4,28,Jordan
2138944,Ryan,Nguyen,2009-05-11,ryan.n@northeastern.edu,M,No,2024-12-14,100245,500245,8,24,Turkey
7377725,Katie,Coffey,1954-04-14,katie.c@northeastern.edu,F,No,2024-03-02,100246,500246,8,24,Western Sahara
9367544,Miranda,Zimmerman,2004-06-19,miranda.z@northeastern.edu,M,No,2025-11-09,100247,500247,8,24,Bahamas
2424177,Tracy,Ayers,1972-09-20,tracy.a@northeastern.edu,F,No,2024-08-21,100248,500248,4,28,Martinique
7421632,Alicia,Perez,1941-02-26,alicia.p@northeastern.edu,M,No,2024-11-20,100249,500249,4,28,Serbia
2834882,Christina,Wilkins,1908-01-18,christina.w@northeastern.edu,F,No,2023-04-29,100250,500250,16,16,Thailand
6049714,Anthony,Johnson,1978-01-13,anthony.j@northeastern.edu,M,No,2025-02-21,100251,500251,8,24,Mali
7861706,Shelley,Lewis,1998-09-20,shelley.l@northeastern.edu,F,No,2023-04-23,100252,500252,16,16,Barbados
7579640,Richard,Saunders,1987-03-26,richard.s@northeastern.edu,M,No,2025-03-16,100253,500253,8,24,Indonesia
2374993,Samuel,Mayo,1993-08-05,samuel.m@northeastern.edu,F,No,2022-01-27,100254,500254,16,16,Fiji
3403917,Oscar,Smith,1951-08-03,oscar.s@northeastern.edu,M,No,2023-10-29,100255,500255,8,24,Djibouti
9255640,Jared,Smith,1914-01-22,jared.s@northeastern.edu,F,No,2023-12-04,100256,500256,16,16,Pakistan
3700341,Peter,Cline,1907-09-15,peter.c@northeastern.edu,M,No,2024-10-05,100257,500257,16,16,Cook Islands
3844987,Heather,Russo,1965-02-17,heather.r@northeastern.edu,F,No,2025-06-02,100258,500258,4,28,Cambodia
9309528,Ryan,Smith,1980-08-27,ryan.s@northeastern.edu,M,No,2023-12-07,100259,500259,8,24,Iraq
8867017,Janet,Ellis,1984-01-08,janet.e@northeastern.edu,F,No,2024-03-11,100260,500260,4,28,Tajikistan
4121136,Angela,Henry,1992-03-15,angela.h@northeastern.edu,M,No,2022-02-24,100261,500261,4,28,Poland
7486249,Traci,Brown,1907-08-18,traci.b@northeastern.edu,F,No,2024-02-06,100262,500262,4,28,Cuba
2928624,Joshua,Brown,1958-02-19,joshua.b@northeastern.edu,M,No,2024-02-12,100263,500263,16,16,Mali
2136510,Michael,Roach,2001-03-25,michael.r@northeastern.edu,F,No,2022-11-15,100264,500264,4,28,Gibraltar
4055752,Lawrence,Ramos,1918-11-08,lawrence.r@northeastern.edu,M,No,2023-02-12,100265,500265,12,20,Mali
4436848,Amy,Cruz,1984-03-03,amy.c@northeastern.edu,F,No,2024-10-25,100266,500266,12,20,Zambia
4397611,Christopher,Foley,1991-04-17,christopher.f@northeastern.edu,M,No,2024-10-31,100267,500267,16,16,Myanmar
7280967,Jessica,Dodson,1958-09-21,jessica.d@northeastern.edu,F,No,2024-11-17,100268,500268,4,28,Indonesia
5037011,Pamela,Donaldson,2002-09-18,pamela.d@northeastern.edu,M,No,2022-03-20,100269,500269,4,28,Christmas Island
4666176,Keith,Duke,1965-12-29,keith.d@northeastern.edu,F,No,2024-05-26,100270,500270,8,24,Saint Vincent and the Grenadines
4781976,Michelle,Johnson,1921-11-06,michelle.j@northeastern.edu,M,No,2024-06-21,100271,500271,4,28,Kenya
2205598,Dorothy,Smith,2010-02-10,dorothy.s@northeastern.edu,F,No,2025-08-16,100272,500272,8,24,Andorra
2963243,Christopher,Jacobson,1968-11-29,christopher.j@northeastern.edu,M,No,2023-05-31,100273,500273,8,24,Nepal
9843074,Madison,Elliott,1936-06-09,madison.e@northeastern.edu,F,No,2024-09-16,100274,500274,16,16,Netherlands Antilles
7440433,Lauren,Thomas,1937-11-18,lauren.t@northeastern.edu,M,No,2022-02-14,100275,500275,8,24,Philippines
2008478,Donna,Miller,2010-03-25,donna.m@northeastern.edu,F,No,2025-01-19,100276,500276,4,28,Uzbekistan
7517816,Candace,Johnson,1984-06-23,candace.j@northeastern.edu,M,No,2022-01-15,100277,500277,8,24,Saudi Arabia
4091022,Dana,Cortez,1995-04-17,dana.c@northeastern.edu,F,No,2023-10-01,100278,500278,4,28,Kyrgyz Republic
8203973,Ryan,Alvarado,1909-01-09,ryan.a@northeastern.edu,M,No,2025-05-30,100279,500279,8,24,Svalbard & Jan Mayen Islands
4448009,David,Hughes,2009-03-31,david.h@northeastern.edu,F,No,2024-02-14,100280,500280,12,20,Pakistan
3692212,Patrick,Barnett,1965-01-13,patrick.b@northeastern.edu,M,No,2023-12-19,100281,500281,8,24,Denmark
6637329,Nicholas,Ruiz,2021-07-06,nicholas.r@northeastern.edu,F,No,2025-03-26,100282,500282,8,24,Maldives
3744196,Anthony,Tran,2010-12-06,anthony.t@northeastern.edu,M,No,2025-09-14,100283,500283,4,28,Norway
2282751,Christopher,Hampton,1908-04-23,christopher.h@northeastern.edu,F,No,2023-07-17,100284,500284,8,24,Bulgaria
6245592,Melissa,Campbell,2014-08-05,melissa.c@northeastern.edu,M,No,2022-02-06,100285,500285,8,24,Canada
9181779,Danielle,Garcia,1969-11-12,danielle.g@northeastern.edu,F,No,2025-05-06,100286,500286,12,20,Iraq
7177021,Anthony,Grant,1984-02-16,anthony.g@northeastern.edu,M,No,2024-02-18,100287,500287,8,24,Palau
5371760,Elizabeth,Maxwell,1955-07-07,elizabeth.m@northeastern.edu,F,No,2024-08-21,100288,500288,8,24,Argentina
5004350,Tanya,Carpenter,1974-11-16,tanya.c@northeastern.edu,M,No,2022-08-18,100289,500289,16,16,Faroe Islands
3199042,Ronald,Gibson,2005-04-23,ronald.g@northeastern.edu,F,No,2023-06-15,100290,500290,12,20,Burkina Faso
6100226,Taylor,Moore,2010-01-31,taylor.m@northeastern.edu,M,No,2023-04-02,100291,500291,12,20,Bahamas
9074670,Scott,Hardy,1987-02-13,scott.h@northeastern.edu,F,No,2024-01-08,100292,500292,8,24,Botswana
5433869,Lisa,Tucker,1993-07-09,lisa.t@northeastern.edu,M,No,2023-05-01,100293,500293,16,16,Mauritius
6515019,Deborah,Peterson,1959-04-21,deborah.p@northeastern.edu,F,No,2024-12-31,100294,500294,12,20,El Salvador
5042514,Anthony,Wilcox,1976-11-27,anthony.w@northeastern.edu,M,No,2024-09-22,100295,500295,8,24,El Salvador
4646356,Sarah,Bond,1941-10-15,sarah.b@northeastern.edu,F,No,2025-08-09,100296,500296,8,24,Iran
6639762,Rachel,Ramirez,1951-03-01,rachel.r@northeastern.edu,M,No,2023-06-01,100297,500297,8,24,Brazil
9446080,Donald,Herring,1982-09-30,donald.h@northeastern.edu,F,No,2023-12-23,100298,500298,8,24,Canada
7155293,Jennifer,Austin,1929-10-16,jennifer.a@northeastern.edu,M,No,2023-05-02,100299,500299,4,28,Saint Vincent and the Grenadines
2647027,Drew,Baird,1968-08-08,drew.b@northeastern.edu,F,No,2023-01-22,100300,500300,4,28,Grenada
6200610,Paul,Johnston,1960-10-22,paul.j@northeastern.edu,M,No,2022-08-24,100301,500301,8,24,Cocos (Keeling) Islands
7325299,Adam,Reilly,1967-08-11,adam.r@northeastern.edu,F,No,2025-10-02,100302,500302,16,16,Spain
3648802,Anthony,Harris,1951-08-17,anthony.h@northeastern.edu,M,No,2023-11-12,100303,500303,16,16,Christmas Island
4413412,John,Owens,2004-04-19,john.o@northeastern.edu,F,No,2025-07-10,100304,500304,16,16,Germany
7758872,Deborah,Nunez,2014-10-05,deborah.n@northeastern.edu,M,No,2023-03-05,100305,500305,8,24,Philippines
2523049,Karen,Moore,2002-11-18,karen.m@northeastern.edu,F,No,2024-07-14,100306,500306,8,24,Kuwait
6476265,Megan,Hamilton,1924-03-25,megan.h@northeastern.edu,M,No,2024-07-26,100307,500307,8,24,Sao Tome and Principe
1530663,Kayla,Salazar,1912-09-06,kayla.s@northeastern.edu,F,No,2024-09-18,100308,500308,12,20,Nicaragua
4501298,Anthony,Moss,1957-07-18,anthony.m@northeastern.edu,M,No,2023-04-19,100309,500309,16,16,Saudi Arabia
3274339,Phillip,Wheeler,1919-02-08,phillip.w@northeastern.edu,F,No,2022-09-18,100310,500310,4,28,China
3161385,Stephanie,Smith,1954-05-30,stephanie.s@northeastern.edu,M,No,2024-12-15,100311,500311,4,28,Panama
7583936,Stephen,Hawkins,1929-12-09,stephen.h@northeastern.edu,F,No,2024-03-08,100312,500312,8,24,Lebanon
9088444,Jose,Martin,1912-04-04,jose.m@northeastern.edu,M,No,2025-07-15,100313,500313,16,16,Congo
8328206,Clifford,Tyler,2004-03-02,clifford.t@northeastern.edu,F,No,2022-04-02,100314,500314,16,16,Ghana
1146516,Wesley,Leonard,1953-12-01,wesley.l@northeastern.edu,M,No,2024-11-23,100315,500315,4,28,Gabon
4410341,Nicole,Fernandez,1998-07-26,nicole.f@northeastern.edu,F,No,2024-02-21,100316,500316,8,24,Togo
1180179,Jean,Weaver,1943-07-26,jean.w@northeastern.edu,M,No,2024-10-25,100317,500317,16,16,Guadeloupe
6689427,Kayla,Rodriguez,1933-06-14,kayla.r@northeastern.edu,F,No,2025-08-07,100318,500318,12,20,Slovakia (Slovak Republic)
6013734,Courtney,Harris,1912-12-02,courtney.h@northeastern.edu,M,No,2023-03-17,100319,500319,16,16,Norfolk Island
5500672,Jacob,Daniels,1914-06-21,jacob.d@northeastern.edu,F,No,2022-05-27,100320,500320,8,24,Serbia
6626345,Katelyn,Phillips,2015-01-27,katelyn.p@northeastern.edu,M,No,2024-01-02,100321,500321,8,24,Christmas Island
3890142,Jeffery,Riggs,1982-04-11,jeffery.r@northeastern.edu,F,No,2024-11-05,100322,500322,12,20,Yemen
7664765,Ryan,Stewart,1951-09-28,ryan.s@northeastern.edu,M,No,2023-01-03,100323,500323,4,28,Pakistan
8967095,Michelle,Fisher,1930-01-13,michelle.f@northeastern.edu,F,No,2023-04-29,100324,500324,4,28,Cyprus
5886875,Lisa,Perez,1942-12-09,lisa.p@northeastern.edu,M,No,2025-02-16,100325,500325,16,16,Western Sahara
5839402,Amber,Stevens,1939-02-26,amber.s@northeastern.edu,F,No,2024-06-22,100326,500326,16,16,Saint Helena
2406159,Richard,Jones,1929-11-04,richard.j@northeastern.edu,M,No,2025-09-21,100327,500327,8,24,Sri Lanka
3594830,Charles,Williams,1924-01-01,charles.w@northeastern.edu,F,No,2024-12-13,100328,500328,12,20,Panama
7370615,Kelly,Shaw,1990-01-20,kelly.s@northeastern.edu,M,No,2023-07-26,100329,500329,12,20,San Marino
8852356,Michael,Miller,1915-12-22,michael.m@northeastern.edu,F,No,2024-07-27,100330,500330,16,16,Mozambique
6476944,Paul,Hawkins,1968-07-10,paul.h@northeastern.edu,M,No,2022-04-16,100331,500331,8,24,Bosnia and Herzegovina
4578443,Melissa,Pham,1932-03-12,melissa.p@northeastern.edu,F,No,2025-07-02,100332,500332,12,20,Nauru
3522353,Derek,Howard,1943-10-27,derek.h@northeastern.edu,M,No,2025-12-02,100333,500333,12,20,Antigua and Barbuda
7347499,Lindsey,Richardson,1940-02-03,lindsey.r@northeastern.edu,F,No,2023-02-16,100334,500334,16,16,Gabon
7766460,Cynthia,Clark,2011-01-30,cynthia.c@northeastern.edu,M,No,2023-03-26,100335,500335,8,24,Afghanistan
3675786,Alec,Villanueva,1919-06-10,alec.v@northeastern.edu,F,No,2022-10-03,100336,500336,12,20,Macao
9430534,Kevin,Ramirez,1914-08-13,kevin.r@northeastern.edu,M,No,2022-02-20,100337,500337,4,28,Macedonia
6002102,Michael,Hodge,2006-10-03,michael.h@northeastern.edu,F,No,2025-06-16,100338,500338,12,20,Cocos (Keeling) Islands
2442743,Aaron,Morales,1996-11-19,aaron.m@northeastern.edu,M,No,2022-06-14,100339,500339,16,16,Sudan
7021735,Jessica,Jones,1970-04-05,jessica.j@northeastern.edu,F,No,2024-02-19,100340,500340,12,20,San Marino
3059270,Cheyenne,Torres,1971-06-08,cheyenne.t@northeastern.edu,M,No,2025-04-03,100341,500341,16,16,Somalia
2406234,Jessica,Rios,1905-12-29,jessica.r@northeastern.edu,F,No,2025-10-10,100342,500342,12,20,Angola
8891024,Jennifer,Mclaughlin,1910-12-26,jennifer.m@northeastern.edu,M,No,2024-06-27,100343,500343,8,24,Cuba
2738643,Kylie,Andrade,1966-05-07,kylie.a@northeastern.edu,F,No,2023-01-03,100344,500344,12,20,Puerto Rico
5763697,Susan,Roy,2018-11-30,susan.r@northeastern.edu,M,No,2025-06-10,100345,500345,12,20,Somalia
8067351,Rebecca,Rangel,2001-03-27,rebecca.r@northeastern.edu,F,No,2025-11-22,100346,500346,8,24,Guatemala
2059268,Leah,Russo,2008-08-18,leah.r@northeastern.edu,M,No,2022-10-22,100347,500347,4,28,Philippines
6388479,John,Gray,2012-09-09,john.g@northeastern.edu,F,No,2025-11-03,100348,500348,16,16,Korea
1809546,Kelli,Mercado,1907-04-23,kelli.m@northeastern.edu,M,No,2024-04-13,100349,500349,8,24,Paraguay
2610106,Leah,Jenkins,1926-02-14,leah.j@northeastern.edu,F,No,2024-04-15,100350,500350,12,20,Sweden
7211534,Ryan,Drake,1936-10-28,ryan.d@northeastern.edu,M,No,2025-06-02,100351,500351,12,20,Netherlands Antilles
1463282,Morgan,Holt,1922-09-26,morgan.h@northeastern.edu,F,No,2024-08-09,100352,500352,12,20,Libyan Arab Jamahiriya
8436528,Randy,Jones,1925-05-15,randy.j@northeastern.edu,M,No,2024-09-10,100353,500353,8,24,Wallis and Futuna
5975853,Michael,Scott,1927-01-10,michael.s@northeastern.edu,F,No,2022-04-05,100354,500354,8,24,Palau
5118905,Taylor,Johnson,2006-06-25,taylor.j@northeastern.edu,M,No,2023-08-19,100355,500355,16,16,Sweden
6865978,John,Phelps,1977-11-29,john.p@northeastern.edu,F,No,2024-05-17,100356,500356,4,28,Congo
3449086,Tricia,Rivera,2010-10-12,tricia.r@northeastern.edu,M,No,2023-09-27,100357,500357,12,20,India
1974646,Tyler,Davis,2004-09-12,tyler.d@northeastern.edu,F,No,2024-06-06,100358,500358,4,28,Pitcairn Islands
2518290,Breanna,Levine,1954-03-05,breanna.l@northeastern.edu,M,No,2022-09-30,100359,500359,16,16,Mexico
1117324,Steven,Perez,1909-06-28,steven.p@northeastern.edu,F,No,2022-02-04,100360,500360,12,20,Nicaragua
1204260,Bryce,Rogers,1997-01-16,bryce.r@northeastern.edu,M,No,2024-10-21,100361,500361,4,28,Netherlands Antilles
9145982,Janet,Martinez,2000-04-18,janet.m@northeastern.edu,F,No,2022-02-20,100362,500362,12,20,Peru
5470298,Andrew,Munoz,1990-11-10,andrew.m@northeastern.edu,M,No,2022-09-10,100363,500363,8,24,Cuba
9856210,Garrett,Brown,1934-04-05,garrett.b@northeastern.edu,F,No,2024-06-20,100364,500364,12,20,Latvia
5425199,Curtis,Rios,1987-07-28,curtis.r@northeastern.edu,M,No,2023-03-25,100365,500365,4,28,Russian Federation
8066117,Isaac,Sherman,1976-10-05,isaac.s@northeastern.edu,F,No,2023-05-01,100366,500366,16,16,Belgium
6710200,Catherine,Collins,2002-07-11,catherine.c@northeastern.edu,M,No,2024-05-15,100367,500367,12,20,Northern Mariana Islands
5969102,Danny,Walters,1906-09-03,danny.w@northeastern.edu,F,No,2023-04-22,100368,500368,4,28,Denmark
2226683,Edwin,Keith,1937-04-07,edwin.k@northeastern.edu,M,No,2024-02-23,100369,500369,4,28,Nauru
3455453,Laura,Bean,1911-08-24,laura.b@northeastern.edu,F,No,2025-08-19,100370,500370,12,20,Saint Pierre and Miquelon
7354262,Nicole,Gomez,1999-01-16,nicole.g@northeastern.edu,M,No,2024-09-11,100371,500371,4,28,Bermuda
1026806,Marissa,Holland,1911-05-29,marissa.h@northeastern.edu,F,No,2024-09-22,100372,500372,4,28,Isle of Man
5907389,Michele,Warren,1947-05-19,michele.w@northeastern.edu,M,No,2022-01-03,100373,500373,12,20,Guam
4160286,Richard,Walker,1960-01-06,richard.w@northeastern.edu,F,No,2022-03-15,100374,500374,4,28,Germany
2685420,Erin,Quinn,1977-11-26,erin.q@northeastern.edu,M,No,2023-01-08,100375,500375,12,20,Brunei Darussalam
6369545,Lisa,Ryan,1949-05-12,lisa.r@northeastern.edu,F,No,2023-02-08,100376,500376,8,24,Kyrgyz Republic
1802762,Michael,Villegas,1996-06-09,michael.v@northeastern.edu,M,No,2025-05-30,100377,500377,12,20,Jamaica
6676122,Joshua,Rosales,1943-06-17,joshua.r@northeastern.edu,F,No,2022-06-24,100378,500378,12,20,French Guiana
6610832,Ronald,King,1964-10-21,ronald.k@northeastern.edu,M,No,2024-08-04,100379,500379,12,20,Faroe Islands
4069372,Alexis,Howell,1995-06-13,alexis.h@northeastern.edu,F,No,2023-05-27,100380,500380,4,28,Ghana
7375841,Christina,Fisher,1936-07-24,christina.f@northeastern.edu,M,No,2022-01-31,100381,500381,12,20,Chad
4409647,Melissa,Smith,1993-12-22,melissa.s@northeastern.edu,F,No,2024-10-13,100382,500382,4,28,Bulgaria
4587218,Kristopher,Edwards,1917-10-15,kristopher.e@northeastern.edu,M,No,2025-04-12,100383,500383,4,28,Iraq
5037577,Johnathan,Barnett,2020-09-20,johnathan.b@northeastern.edu,F,No,2025-11-01,100384,500384,8,24,Barbados
1844436,Deanna,Miller,1948-09-01,deanna.m@northeastern.edu,M,No,2024-08-08,100385,500385,16,16,Comoros
3253928,Tiffany,Patton,2015-08-25,tiffany.p@northeastern.edu,F,No,2023-10-08,100386,500386,16,16,South Africa
6290616,Donna,Torres,1967-07-11,donna.t@northeastern.edu,M,No,2023-02-05,100387,500387,4,28,Korea
7305125,George,Noble,1973-06-12,george.n@northeastern.edu,F,No,2024-12-28,100388,500388,4,28,French Polynesia
7710870,Kathryn,Carr,1978-09-01,kathryn.c@northeastern.edu,M,No,2022-05-28,100389,500389,8,24,Greenland
1371287,Marilyn,Bray,1987-08-02,marilyn.b@northeastern.edu,F,No,2025-10-27,100390,500390,8,24,Somalia
3537255,Robin,Byrd,1930-10-10,robin.b@northeastern.edu,M,No,2023-04-12,100391,500391,16,16,Maldives
8674116,Charles,Harrison,2017-01-25,charles.h@northeastern.edu,F,No,2025-10-31,100392,500392,12,20,Norfolk Island
4047896,Christina,Williams,1915-10-08,christina.w@northeastern.edu,M,No,2022-08-17,100393,500393,8,24,Morocco
2512397,Bradley,Cowan,1956-03-15,bradley.c@northeastern.edu,F,No,2024-10-29,100394,500394,8,24,Korea
5034166,Gregory,Cobb,1936-04-08,gregory.c@northeastern.edu,M,No,2022-07-16,100395,500395,4,28,Liechtenstein
3330167,William,Murphy,1917-04-29,william.m@northeastern.edu,F,No,2024-04-27,100396,500396,4,28,Cocos (Keeling) Islands
8979312,Tammy,Garcia,1968-03-04,tammy.g@northeastern.edu,M,No,2022-06-03,100397,500397,12,20,Samoa
7106067,Samuel,Christensen,1910-12-30,samuel.c@northeastern.edu,F,No,2024-07-07,100398,500398,4,28,Puerto Rico
9229471,William,Carr,1936-03-21,william.c@northeastern.edu,M,No,2022-10-01,100399,500399,8,24,Cayman Islands
1675071,Jessica,Anderson,1960-01-25,jessica.a@northeastern.edu,F,No,2023-02-15,100400,500400,12,20,Cook Islands
7420592,Mariah,Peterson,1962-08-28,mariah.p@northeastern.edu,M,No,2025-08-26,100401,500401,4,28,Liberia
8788285,Mathew,Smith,1921-12-12,mathew.s@northeastern.edu,F,No,2024-03-27,100402,500402,4,28,Tuvalu
9202329,Kathy,Cole,1993-05-02,kathy.c@northeastern.edu,M,No,2023-09-10,100403,500403,8,24,Latvia
7028882,Stephanie,Rivera,1922-12-29,stephanie.r@northeastern.edu,F,No,2024-12-05,100404,500404,12,20,American Samoa
3484864,Jamie,Williams,1944-06-09,jamie.w@northeastern.edu,M,No,2022-03-17,100405,500405,12,20,French Guiana
1520377,Curtis,Miranda,2004-04-24,curtis.m@northeastern.edu,F,No,2025-08-04,100406,500406,12,20,Anguilla
7986326,David,Kidd,1938-06-17,david.k@northeastern.edu,M,No,2025-02-03,100407,500407,12,20,Philippines
8344494,Brian,Williams,1917-09-14,brian.w@northeastern.edu,F,No,2022-09-14,100408,500408,4,28,Venezuela
5180565,Katie,Jones,1984-12-23,katie.j@northeastern.edu,M,No,2023-05-05,100409,500409,8,24,Pitcairn Islands
7572758,Leah,Thompson,1996-05-26,leah.t@northeastern.edu,F,No,2024-03-28,100410,500410,12,20,Saint Kitts and Nevis
9811017,Jennifer,Fleming,1977-06-24,jennifer.f@northeastern.edu,M,No,2024-11-03,100411,500411,4,28,Egypt
6579058,Courtney,Clark,1986-04-28,courtney.c@northeastern.edu,F,No,2024-10-24,100412,500412,16,16,Bahamas
9323059,Brandon,West,1926-09-30,brandon.w@northeastern.edu,M,No,2023-10-06,100413,500413,16,16,Korea
4576782,David,Mills,1914-02-26,david.m@northeastern.edu,F,No,2023-09-03,100414,500414,8,24,Holy See (Vatican City State)
9494340,Amber,Lewis,1954-09-30,amber.l@northeastern.edu,M,No,2023-08-21,100415,500415,4,28,Vanuatu
2567846,Caitlin,Smith,1948-12-15,caitlin.s@northeastern.edu,F,No,2023-12-04,100416,500416,4,28,New Caledonia
8829487,Marc,Reyes,1937-04-26,marc.r@northeastern.edu,M,No,2025-02-28,100417,500417,16,16,Finland
1248192,Aaron,Ellis,1966-10-15,aaron.e@northeastern.edu,F,No,2022-02-22,100418,500418,16,16,Bangladesh
1403579,Andrew,White,1986-04-05,andrew.w@northeastern.edu,M,No,2023-06-08,100419,500419,4,28,Poland
6718073,Stephanie,Johnson,1910-07-02,stephanie.j@northeastern.edu,F,No,2025-12-02,100420,500420,16,16,Congo
6681187,Hannah,Camacho,2013-02-09,hannah.c@northeastern.edu,M,No,2025-08-08,100421,500421,12,20,Netherlands
3644647,Jacob,Wilson,1996-11-19,jacob.w@northeastern.edu,F,No,2025-01-19,100422,500422,16,16,Spain
7205067,Robin,Santiago,1990-04-25,robin.s@northeastern.edu,M,No,2025-06-12,100423,500423,8,24,Tajikistan
4911879,Anthony,Smith,1934-11-08,anthony.s@northeastern.edu,F,No,2023-02-26,100424,500424,16,16,Pakistan
8825566,Amy,Morgan,1928-11-28,amy.m@northeastern.edu,M,No,2022-10-05,100425,500425,8,24,Antigua and Barbuda
7752350,Alexandra,Campbell,1909-06-08,alexandra.c@northeastern.edu,F,No,2024-06-15,100426,500426,12,20,Mexico
1283850,Erin,Lee,1949-02-15,erin.l@northeastern.edu,M,No,2022-06-06,100427,500427,16,16,Ghana
7660806,David,Johnson,1925-04-01,david.j@northeastern.edu,F,No,2023-02-24,100428,500428,12,20,Saint Helena
6640078,Thomas,Harrell,2013-02-22,thomas.h@northeastern.edu,M,No,2022-05-16,100429,500429,8,24,Norfolk Island
4575369,Christopher,Lloyd,2019-11-02,christopher.l@northeastern.edu,F,No,2024-01-12,100430,500430,12,20,Guam
4076493,Rachel,Jones,1980-04-06,rachel.j@northeastern.edu,M,No,2024-10-13,100431,500431,12,20,Mongolia
7876722,Ann,Lindsey,1943-05-06,ann.l@northeastern.edu,F,No,2022-10-30,100432,500432,8,24,Palestinian Territory
2061097,Ashley,Gordon,1946-08-26,ashley.g@northeastern.edu,M,No,2025-05-29,100433,500433,16,16,Tokelau
8635419,Patrick,Shaffer,1948-02-03,patrick.s@northeastern.edu,F,No,2025-02-16,100434,500434,4,28,Philippines
6207736,Jennifer,Hammond,1916-04-07,jennifer.h@northeastern.edu,M,No,2025-02-20,100435,500435,8,24,Palau
5672143,Danielle,Gibson,1937-11-29,danielle.g@northeastern.edu,F,No,2025-01-19,100436,500436,8,24,Sao Tome and Principe
3473498,David,Smith,1951-04-21,david.s@northeastern.edu,M,No,2023-01-19,100437,500437,4,28,Madagascar
8038083,Jessica,Sims,1927-08-04,jessica.s@northeastern.edu,F,No,2024-04-26,100438,500438,12,20,Thailand
3316337,Debra,Shepherd,1917-05-17,debra.s@northeastern.edu,M,No,2022-10-21,100439,500439,12,20,Barbados
3591532,Christopher,Rowe,1910-07-25,christopher.r@northeastern.edu,F,No,2022-07-11,100440,500440,12,20,United Kingdom
5023265,Edwin,Fisher,1936-10-24,edwin.f@northeastern.edu,M,No,2023-01-30,100441,500441,16,16,Cuba
6167908,Jaclyn,Owens,2012-01-25,jaclyn.o@northeastern.edu,F,No,2024-01-29,100442,500442,4,28,Monaco
7216643,Aaron,Mccullough,1967-04-09,aaron.m@northeastern.edu,M,No,2025-09-17,100443,500443,16,16,Portugal
8480611,Stephanie,Baker,2000-07-09,stephanie.b@northeastern.edu,F,No,2024-09-05,100444,500444,16,16,Anguilla
4230384,Dennis,Lara,1926-09-12,dennis.l@northeastern.edu,M,No,2022-06-09,100445,500445,4,28,American Samoa
6546966,Michael,Osborne,1954-04-25,michael.o@northeastern.edu,F,No,2024-02-23,100446,500446,4,28,Lebanon
3221806,Misty,Weaver,1929-01-04,misty.w@northeastern.edu,M,No,2022-09-21,100447,500447,16,16,Philippines
7684767,Kerri,Kane,2020-01-21,kerri.k@northeastern.edu,F,No,2024-10-11,100448,500448,16,16,Saint Kitts and Nevis
8088794,Melissa,Durham,1964-04-20,melissa.d@northeastern.edu,M,No,2023-01-03,100449,500449,16,16,Solomon Islands
7533370,Denise,Murray,1954-02-09,denise.m@northeastern.edu,F,No,2023-08-16,100450,500450,8,24,Australia
9588210,Carrie,Randolph,1915-11-17,carrie.r@northeastern.edu,M,No,2022-04-06,100451,500451,12,20,Sudan
