,NUID,FirstName,LastName,DOB,Email,Gender,OnCampus,GraduationDate,StreetAddress,City,State,Zipcode,CountryOfOrigin,EmpStatus,CoopStatus,Home_Address,Home_City,Home_State,Home_Zipcode,Prof_Address,Prof_City,Prof_State,Prof_Zipcode
93,9306917,Michael,Harris,1906-04-03,michael.h@northeastern.edu,F,No,2023-06-29,55260 Jennifer Mount Apt. 558,Port Elizabeth,Oklahoma,26289,Somalia,Unemployed,Yes,38177 Brooks Summit Apt. 745,East Leslie,Louisiana,02850,94018 Ronald Wall,Port Brent,Hawaii,23790
94,3369211,Ryan,Green,1957-07-02,ryan.g@northeastern.edu,M,No,2025-11-20,01690 Collins Divide Apt. 991,Ryanfurt,Alabama,59142,Czech Republic,Employed,No,9321 Andrew Estates,Ashleyburgh,Oregon,75731,9334 Brian Shoals Apt. 124,Andrewshire,Maine,19390
95,5383678,Stacey,Watson,2004-03-06,stacey.w@northeastern.edu,F,No,2024-02-04,325 Henry Brook Apt. 180,Josephland,Nevada,33442,Gabon,Unemployed,No,4059 Vazquez Crescent,South George,Utah,23913,653 Scott Ramp Suite 482,Marytown,Illinois,80809
96,7897123,Jessica,Choi,1926-11-02,jessica.c@northeastern.edu,M,No,2024-10-24,2424 Andrew Glens Apt. 957,Port Michael,Minnesota,67234,Singapore,Employed,Yes,919 Moses Walks,Patriciamouth,Massachusetts,44521,2078 Sharon Forge Apt. 973,New Dylan,California,59410
97,7012064,Jake,Rowe,1938-06-25,jake.r@northeastern.edu,F,No,2024-04-03,62271 Rose Island Suite 469,Port Maureenton,New York,84483,Lebanon,Unemployed,No,0749 Laura Trace Suite 460,Goldenport,Rhode Island,10598,6284 Grant Square Apt. 119,West Raymondport,Maine,03326
98,1679273,Joseph,Park,1968-04-23,joseph.p@northeastern.edu,M,No,2024-12-16,9047 Lyons Orchard,Ortizfort,Iowa,45597,Turks and Caicos Islands,Employed,No,23172 Allen Court Suite 173,East Barbara,Idaho,13396,7920 Natalie Knolls Suite 979,Port Jennifer,Tennessee,65140
99,7715639,Kelsey,Young,1983-02-04,kelsey.y@northeastern.edu,F,No,2024-03-25,9822 Watson Drive Suite 703,Port Christophertown,New York,54453,Burundi,Unemployed,Yes,27668 Waters Ford Apt. 758,New Jodyville,Arkansas,07093,445 Leon Bridge,West Shannonport,Louisiana,41543
100,3985762,Seth,Salazar,1925-08-12,seth.s@northeastern.edu,M,No,2023-07-03,97826 Thomas Ramp,East April,Oklahoma,81167,Montenegro,Employed,No,136 Robert Unions Apt. 079,Jonesmouth,Virginia,26568,29245 Calvin Meadow,Lake Jeanport,Connecticut,41221
101,1416257,Ronald,Frazier,1963-09-19,ronald.f@northeastern.edu,F,No,2022-01-27,64411 Christopher Mission Apt. 996,Lake Tylerfurt,Colorado,88046,Jamaica,Unemployed,No,876 Torres Viaduct,West Davidshire,Alaska,22001,64641 Padilla Center Suite 297,Lisaport,Mississippi,89922
102,7069096,Christopher,Everett,2011-04-23,christopher.e@northeastern.edu,M,No,2024-03-22,33104 Jennifer Island Suite 904,Port Melissa,Connecticut,78204,Korea,Employed,Yes,6537 Ryan Valley Suite 374,Lake Christopher,Kentucky,49095,30222 Hurst Orchard,Port Sarah,Georgia,42065
103,8978287,Adam,Townsend,1969-10-14,adam.t@northeastern.edu,F,No,2025-05-06,6564 Adrian Brooks Suite 501,Sheppardtown,Michigan,97654,Oman,Unemployed,No,411 Williams Skyway,North Thomas,Maine,07080,8468 Eduardo Expressway,Brocktown,Arizona,34424
104,1510746,Fernando,Carson,1907-04-20,fernando.c@northeastern.edu,M,No,2023-07-26,10899 Daniel Cliffs Suite 153,Elliottburgh,Georgia,34263,Christmas Island,Employed,No,35907 Julia Streets,Cherylberg,Tennessee,66605,72133 Charles Greens,Robertsonburgh,Georgia,87612
105,7589204,Charles,Rich,1930-11-25,charles.r@northeastern.edu,F,No,2022-12-26,1749 Mora Mall,Cruzport,Massachusetts,85063,South Africa,Unemployed,Yes,9352 Mary Fort,East Dawntown,Missouri,47242,13722 Conley Rapids Apt. 016,Andrewberg,Florida,74657
106,2352095,Emily,Doyle,1983-07-06,emily.d@northeastern.edu,M,No,2023-07-06,54375 Alexander Flat Suite 717,Lake Ashleyside,New Hampshire,37434,United States Minor Outlying Islands,Employed,No,73013 Cynthia Villages Apt. 799,South Tiffanyborough,Arkansas,30157,205 Hart Motorway,Brownshire,Kansas,39519
107,2235472,Sara,Davis,1924-07-26,sara.d@northeastern.edu,F,No,2025-02-12,7549 Evans Fall Apt. 840,Jenningsview,Iowa,71331,Ireland,Unemployed,No,7378 John Brooks,Brownberg,Hawaii,70103,759 Watson Overpass Suite 542,East Dorothyberg,Hawaii,40804
108,3661632,Charles,Lyons,2004-05-22,charles.l@northeastern.edu,M,No,2023-01-30,493 Smith Freeway,Portermouth,Idaho,92311,Lebanon,Employed,Yes,19578 Bennett Crossroad Suite 865,Danaview,Iowa,89898,268 Veronica Stravenue,Port Briannatown,Texas,38365
109,7774504,Luis,Gaines,1939-11-02,luis.g@northeastern.edu,F,No,2022-08-09,616 Graham Falls,West Kathy,New Hampshire,45557,Guinea-Bissau,Unemployed,No,58801 Michelle Club,Holtberg,Maryland,07461,41901 Bryan Dale,Wileyport,Mississippi,18982
110,1596534,Michael,Rice,1962-11-01,michael.r@northeastern.edu,M,No,2023-08-25,52068 Jones Canyon,Thomasport,South Dakota,53565,Sierra Leone,Employed,No,0361 Nicole Points Apt. 566,Ortizville,Alaska,30100,20068 Michael Cliffs Apt. 544,Leonardburgh,Oregon,95456
111,7404679,Laura,Lee,1929-07-02,laura.l@northeastern.edu,F,No,2023-10-08,43847 Alvarado Park Suite 751,Millerburgh,Washington,36218,Ethiopia,Unemployed,Yes,72252 Jonathan Burg,East Michellehaven,Minnesota,90647,775 Porter Center Suite 755,Jacksonland,New Jersey,43576
112,1335022,Jennifer,White,1949-11-02,jennifer.w@northeastern.edu,M,No,2024-09-30,4295 Lauren Springs,East Clayton,West Virginia,68038,Egypt,Employed,No,97970 Kylie Plain Suite 361,East Michellebury,Montana,93840,9519 Becker Walk Suite 914,Davidton,North Dakota,38575
113,4947577,Virginia,Lewis,2013-06-16,virginia.l@northeastern.edu,F,No,2022-09-18,816 Johnson Harbors Suite 906,Kennedybury,Arizona,46446,Russian Federation,Unemployed,No,533 Kathy Junction,South Brett,New York,85039,8704 Paige Lights,West Donaldmouth,West Virginia,15823
114,3957146,Kevin,Berry,1959-03-25,kevin.b@northeastern.edu,M,No,2024-01-19,915 Benson Port,Daniellestad,Washington,90455,Finland,Employed,Yes,23610 Guerrero Crossing,North Williamberg,New York,87957,0425 Adam Key Suite 397,New Dennis,Oklahoma,23473
115,6711294,Melissa,Medina,1916-09-21,melissa.m@northeastern.edu,F,No,2022-01-27,04803 Lopez Hill,Sarahfurt,Kansas,79923,Korea,Unemployed,No,96534 Gabriel Plaza Apt. 079,Nathanielton,Alaska,80404,2247 Jackson Prairie,Robertsonland,Indiana,24465
116,6013983,Ashley,Stone,1916-10-15,ashley.s@northeastern.edu,M,No,2022-05-30,53616 Roberts Cliffs Apt. 801,West Wendy,New York,94115,South Georgia and the South Sandwich Islands,Employed,No,9469 Melissa Ports,Melissaburgh,Illinois,98653,280 Michele Place,South Charlesmouth,Georgia,10276
117,6663605,Brian,Garza,2002-07-13,brian.g@northeastern.edu,F,No,2022-06-08,33937 Johnson Corner Apt. 390,South Kelli,Connecticut,96065,Sweden,Unemployed,Yes,05772 Mcdaniel Village Suite 080,Lake Jennifer,Kentucky,59664,655 Osborne Island,East Kimberlychester,Kentucky,44457
118,3462795,Troy,Garcia,2002-06-23,troy.g@northeastern.edu,M,No,2024-04-01,718 Zachary Orchard Apt. 238,Craigmouth,Kansas,99522,Bolivia,Employed,No,3734 Calvin Ports,Cruzfort,Missouri,48174,536 Kathleen Stream,Michaelport,Ohio,08439
119,6222011,Brittany,Mayo,1987-04-24,brittany.m@northeastern.edu,F,No,2025-05-19,6499 Olson Tunnel Suite 478,Matthewmouth,Oklahoma,91004,Iran,Unemployed,No,75584 Sarah Points,Fisherbury,Nebraska,80338,8754 Hall Corners Apt. 590,Carrtown,Michigan,95457
120,8689280,Kristina,Baker,1999-11-24,kristina.b@northeastern.edu,M,No,2024-05-04,95351 Mario Flat Apt. 415,Martinburgh,Delaware,45837,South Georgia and the South Sandwich Islands,Employed,Yes,429 Monica Mill Suite 823,Port Deannamouth,Wyoming,81729,55173 Barnes Islands Suite 844,Port Gabriela,Rhode Island,37205
121,8840505,Jason,Day,1953-03-14,jason.d@northeastern.edu,F,No,2022-03-12,347 Webster Highway,West Shelby,Texas,57036,Nigeria,Unemployed,No,0543 Thomas Glen,Morganville,Michigan,02173,495 William Ford Suite 316,Francisport,Delaware,51577
122,1367999,Norma,Clarke,1957-10-03,norma.c@northeastern.edu,M,No,2023-10-23,24342 Brandon Ford,Alexandraview,Pennsylvania,35168,Palestinian Territory,Employed,No,501 Olson Stream Suite 688,Aaronside,Rhode Island,75987,853 Hernandez Rapid Apt. 893,Lopezfort,Tennessee,62032
123,2987219,Jeffrey,Moore,1940-11-25,jeffrey.m@northeastern.edu,F,No,2024-10-14,873 Luke Village Apt. 170,Reillyberg,Idaho,54909,Bosnia and Herzegovina,Unemployed,Yes,26057 Rose Shore Apt. 908,Kellychester,Kansas,27521,1071 Barbara Drives Apt. 153,Blairmouth,New York,63972
124,6033620,Kimberly,Hooper,1951-10-25,kimberly.h@northeastern.edu,M,No,2023-02-22,318 Henderson Tunnel Apt. 622,Kellerview,South Dakota,82373,Mauritania,Employed,No,463 Ayala Parkway,Wardberg,Delaware,63869,7865 Theodore Passage,New Timothy,New Jersey,31237
125,8173292,Michael,Sparks,1980-03-28,michael.s@northeastern.edu,F,No,2023-05-06,27734 Johnson Lodge,Port Josephshire,Idaho,19275,Oman,Unemployed,No,5691 Kelly Stravenue,New Kelsey,New York,75043,361 Tina Isle,West Mary,Utah,76916
126,4123707,John,Nguyen,1941-10-15,john.n@northeastern.edu,M,No,2023-07-16,78993 Jacqueline Lodge Suite 256,Port Brian,Michigan,59017,Croatia,Employed,Yes,62081 Doyle Lakes Suite 514,Robertmouth,Nevada,92279,11648 Harris Dam,New Victoriahaven,Nevada,67260
127,3195021,Jennifer,Nunez,1973-03-25,jennifer.n@northeastern.edu,F,No,2025-10-19,71532 Thomas Run,North Greggtown,Ohio,20422,Christmas Island,Unemployed,No,977 Ana Shoal Suite 850,Benjaminhaven,Florida,97444,0855 Kathy Forges Suite 285,Dianaberg,Alaska,57835
128,1763684,Jonathan,Coleman,1958-02-10,jonathan.c@northeastern.edu,M,No,2022-02-07,25936 Johnson Alley Suite 571,Angelachester,Maryland,18166,Korea,Employed,No,41347 Emily Rue,New Brad,South Dakota,71554,86157 Stevens Viaduct,North Joannaton,Georgia,32696
129,4663473,Deanna,Stevens,1989-02-13,deanna.s@northeastern.edu,F,No,2025-10-29,083 Justin Groves Apt. 199,East Jodi,Nevada,71263,Malta,Unemployed,Yes,533 Edward Row,New Jennifer,South Dakota,97515,118 Matthew Bypass,North Shawnside,Florida,98622
130,5161671,Jennifer,Ramirez,1947-04-06,jennifer.r@northeastern.edu,M,No,2022-01-10,70305 Garcia Trail Apt. 892,East Kathy,South Dakota,02535,French Polynesia,Employed,No,70130 Rhodes Place Apt. 716,New Makayla,Wisconsin,14789,160 Randy Inlet,Port Gregoryfort,Missouri,55252
131,9029788,Timothy,Young,2016-06-30,timothy.y@northeastern.edu,F,No,2024-03-23,733 Chad Viaduct,Port Kristenberg,Kansas,41760,Saint Kitts and Nevis,Unemployed,No,93719 Rodriguez Mews,Griffinbury,Texas,53057,71839 Todd Square Suite 648,Potterville,Montana,38885
132,7661694,Terri,Hendricks,2013-08-17,terri.h@northeastern.edu,M,No,2024-06-06,555 Odonnell Glen,Mariahaven,South Carolina,34376,Libyan Arab Jamahiriya,Employed,Yes,301 Kimberly Mill Suite 399,Christopherborough,California,30501,647 Alfred Burg Suite 481,Amandashire,Pennsylvania,35485
133,3233248,Stephanie,Gray,1953-09-06,stephanie.g@northeastern.edu,F,No,2022-12-04,42740 Seth Brook,Johnsonburgh,Colorado,52532,Afghanistan,Unemployed,No,150 Robin Mount Suite 198,New Johnchester,Tennessee,81473,85232 Susan Square,Kennethfurt,Rhode Island,30073
134,5890927,Sarah,Buchanan,2021-01-20,sarah.b@northeastern.edu,M,No,2022-07-12,248 William Overpass,Feliciamouth,Massachusetts,07302,Norway,Employed,No,0006 Mary Valley Suite 200,Millerland,Kentucky,82611,58051 Cynthia Plain Suite 321,North Heatherland,Idaho,76670
135,1605378,Christina,Castillo,1975-02-08,christina.c@northeastern.edu,F,No,2023-08-17,430 Heather Knoll,Lake Katherine,Vermont,16618,Serbia,Unemployed,Yes,291 Brown Mountains Apt. 498,Johnland,Hawaii,46909,30676 Eric Port Suite 214,East Angelicafort,New Mexico,82698
136,7130892,Kristy,Harris,1999-03-31,kristy.h@northeastern.edu,M,No,2023-07-27,47020 Cook Port Suite 519,West Patrick,Tennessee,01119,Tuvalu,Employed,No,3372 Thomas Fork Apt. 985,Thomasmouth,Oklahoma,88013,3670 Melissa Islands,North Chrishaven,Florida,38626
137,1215753,Spencer,Singleton,1910-09-28,spencer.s@northeastern.edu,F,No,2023-01-19,22391 Robert Branch,New Garyfurt,Pennsylvania,04400,Vietnam,Unemployed,No,8100 Paul View,West Tracy,South Carolina,94872,836 Daniel Unions,West Paulland,Texas,88547
138,5136421,Elizabeth,Griffin,1954-11-12,elizabeth.g@northeastern.edu,M,No,2024-12-18,59054 Villa Lake,Hamiltonview,North Carolina,67576,Mongolia,Employed,Yes,28771 Villanueva Highway Suite 507,New Alicia,Delaware,34951,933 Kenneth Landing,Ericstad,Iowa,79884
139,6445836,Ray,Carroll,1957-11-21,ray.c@northeastern.edu,F,No,2025-08-25,1845 Perez Crossing,Stacyfort,Pennsylvania,65133,Cuba,Unemployed,No,790 Blanchard Place Apt. 405,Michaelborough,Idaho,96969,799 Joel Stravenue Suite 006,Walkerstad,Alaska,98170
140,2067515,Shawn,Jones,1973-04-12,shawn.j@northeastern.edu,M,No,2023-09-01,431 Sullivan Roads,West Stevenborough,Alabama,48210,Rwanda,Employed,No,2910 Valerie Mountain Apt. 170,Lake Michelleshire,California,26915,12759 Nelson Cliffs,Williamshaven,Iowa,27837
141,6672358,Brooke,Mcgee,1957-12-06,brooke.m@northeastern.edu,F,No,2022-03-28,29794 Wood Pines,Lisamouth,Texas,03623,Azerbaijan,Unemployed,Yes,530 Perkins Square,Priceside,Oregon,35090,4720 Nelson Circles Apt. 992,East Robin,Missouri,17984
142,8753824,Andrea,Clark,1968-10-08,andrea.c@northeastern.edu,M,No,2023-06-12,947 Mitchell Garden Apt. 006,New Ashleytown,New York,93132,Congo,Employed,No,483 Kirk Springs Suite 317,Youngchester,Mississippi,25930,66074 Wise Trail,West Helen,Maine,61910
143,2272070,Evan,Sullivan,1925-04-02,evan.s@northeastern.edu,F,No,2023-11-18,61000 Melissa Drives Suite 445,Timothymouth,West Virginia,45029,Argentina,Unemployed,No,132 Sandra Trail Apt. 065,South Lori,Nevada,35150,89063 Sarah Fields Suite 120,Derrickton,Utah,14828
144,2045793,Christine,Marquez,1918-01-15,christine.m@northeastern.edu,M,No,2023-03-22,6316 Gilbert Squares Apt. 296,Knoxfort,North Dakota,74472,Christmas Island,Employed,Yes,76689 Nicholas Haven,Lake Shawnside,Georgia,42041,268 Newman Parkways Apt. 024,Atkinstown,Florida,57670
145,1129364,Paul,Williams,1955-08-23,paul.w@northeastern.edu,F,No,2022-11-19,7739 King Ways Suite 711,Dawnhaven,Arkansas,03556,Grenada,Unemployed,No,084 Ellen Drives,Lake Lisaville,Ohio,95514,5148 Eric Village,Elizabethchester,Kentucky,57003
146,4479916,Kristen,Ramirez,2004-03-08,kristen.r@northeastern.edu,M,No,2025-05-14,7967 Garcia Points Suite 636,Port Catherine,Iowa,76325,Saint Helena,Employed,No,115 Kurt Knolls Suite 447,East Raven,Vermont,53537,83340 Angela Crossroad,Brentton,New Hampshire,95086
147,7921460,Katrina,Cox,1953-11-07,katrina.c@northeastern.edu,F,No,2023-02-01,132 Malik Way,New Paul,Delaware,12855,Italy,Unemployed,Yes,7238 Smith Summit Suite 881,Port Glennside,Hawaii,64147,41206 Schmidt River Apt. 773,Port Timothyberg,Montana,30755
148,4425904,Matthew,Rodriguez,1941-03-06,matthew.r@northeastern.edu,M,No,2025-11-06,512 Melissa Mountain Suite 377,East Brooke,Massachusetts,60065,Montserrat,Employed,No,1949 Hall Locks Suite 018,South Marissaville,Virginia,21535,3871 Davenport Turnpike Suite 358,West Rodney,New Mexico,14409
149,5963189,Ralph,Allen,1939-05-22,ralph.a@northeastern.edu,F,No,2024-05-10,9650 Arellano Trace,South Herbert,Kansas,89470,Congo,Unemployed,No,254 Daniel Brooks,Jacksonland,Wisconsin,91132,98199 Fitzgerald Lights Suite 195,New Williamhaven,Minnesota,50816
150,1990901,Gregory,Parks,1993-10-15,gregory.p@northeastern.edu,M,No,2023-12-20,607 Pearson Branch,Johnland,Utah,23222,Grenada,Employed,Yes,09302 Peck Mill,New Rebeccamouth,Kentucky,28601,8656 Briana Creek Suite 093,Paulahaven,Alaska,48912
151,8835978,Heather,Wright,1919-05-03,heather.w@northeastern.edu,F,No,2022-12-04,12972 Warner Stravenue Apt. 762,South Philip,California,38819,Switzerland,Unemployed,No,0918 Samuel Lakes,Martinhaven,Utah,10362,35964 Kristin Turnpike Apt. 175,Rayshire,Ohio,56909
152,2949491,Jonathan,Sanchez,1959-10-11,jonathan.s@northeastern.edu,M,No,2025-07-19,9850 David Parkway,Port Karatown,Texas,81691,Guyana,Employed,No,103 Rebecca Trail Suite 968,Duranland,Rhode Island,12078,082 Andrea Vista,New Maria,Washington,40518
153,2854323,Carla,Lopez,2001-02-15,carla.l@northeastern.edu,F,No,2022-06-04,214 Nicholas Loaf Suite 275,Kentfurt,Rhode Island,65793,Bahrain,Unemployed,Yes,78851 Huff Inlet Apt. 280,Brownton,Illinois,40156,0911 Alexandra Mountain,Teresafort,Rhode Island,61665
154,5227888,Leslie,Smith,2009-09-08,leslie.s@northeastern.edu,M,No,2025-05-12,78491 Edgar Brook Apt. 211,Lake Theresa,Kentucky,27341,Tonga,Employed,No,0816 Jeremy Drives Suite 846,South Annastad,Alaska,10623,1232 Strong Orchard,Lake Jonathanside,New Mexico,19099
155,8940838,Jason,Preston,1954-10-13,jason.p@northeastern.edu,F,No,2023-06-10,808 Tiffany Ramp Apt. 300,Hughesville,West Virginia,12999,Nepal,Unemployed,No,1255 Smith Corners,Port Mary,Maryland,81541,59897 David Mills,South Joshua,Connecticut,61628
156,4503333,Ashley,Buck,1968-11-01,ashley.b@northeastern.edu,M,No,2024-05-29,5556 Gabriella Trail,Coxton,Ohio,65182,Italy,Employed,Yes,937 Walker Forks Apt. 572,Joshuashire,Iowa,89061,42849 Campos Flat,West Brianna,Connecticut,19446
157,9474241,Ashley,Burgess,1990-05-02,ashley.b@northeastern.edu,F,No,2022-02-07,114 Michael Fort,Port Chelsey,New Mexico,99008,Panama,Unemployed,No,9269 Barker Hills Apt. 901,Bryanfort,Maryland,57817,2172 Miller Pike Apt. 935,North Christine,Nebraska,46481
158,4722672,Kenneth,Costa,1969-02-23,kenneth.c@northeastern.edu,M,No,2025-05-30,69810 Gomez Lodge Suite 013,North Victoriatown,New Hampshire,29307,Timor-Leste,Employed,No,1510 Teresa Extensions,New Ruthport,Ohio,72549,580 Valerie Fall Apt. 730,Port Eric,Kansas,87461
159,6116997,Joshua,Cardenas,1911-07-07,joshua.c@northeastern.edu,F,No,2025-03-05,9583 David Lock Apt. 837,South Fred,North Carolina,96219,Marshall Islands,Unemployed,Yes,762 Carl Forges,New Amberside,Utah,64552,14450 Miller Grove Suite 660,Lake Saraberg,Arkansas,64038
160,9438896,Phillip,Rodriguez,1943-02-28,phillip.r@northeastern.edu,M,No,2025-10-28,1410 Lynn Fields Suite 422,Annaberg,California,52933,Congo,Employed,No,67131 Brenda Point Apt. 477,Steveside,Vermont,69829,440 Higgins Plaza,Lake Jason,Alabama,18154
161,1019909,Jason,Crane,1962-03-09,jason.c@northeastern.edu,F,No,2025-09-23,75152 William Center Suite 868,Port Ashley,Idaho,80551,Saint Pierre and Miquelon,Unemployed,No,89665 Brittany Avenue Suite 477,Rickyshire,Kansas,13226,6117 Linda Expressway Suite 658,East Lindastad,Rhode Island,06229
162,1732094,Amy,Howard,1974-08-08,amy.h@northeastern.edu,M,No,2024-07-21,6525 Beck Inlet Apt. 466,Lake Erin,Nebraska,96344,Turks and Caicos Islands,Employed,Yes,8920 Ronald Points,Youngborough,Utah,48150,1944 Karen Plain,Smithshire,Oregon,49126
163,2042005,Robert,Johns,1926-04-23,robert.j@northeastern.edu,F,No,2025-04-01,7523 Kathleen Divide Suite 057,Riosborough,Arkansas,64102,Israel,Unemployed,No,9565 Davis Row,East Tyler,Idaho,09198,912 Justin Camp Suite 451,Michaelstad,West Virginia,46511
164,1512262,Joy,Conner,1994-06-11,joy.c@northeastern.edu,M,No,2023-02-09,273 Teresa Mount Suite 758,Rachelside,New Hampshire,77197,Namibia,Employed,No,863 Steven Road Apt. 418,New Jeremy,Louisiana,42573,2902 Howard Lakes Suite 397,North Stevenborough,Louisiana,77201
165,2662159,Yolanda,Daniels,1922-07-07,yolanda.d@northeastern.edu,F,No,2022-09-18,034 Scott Views Suite 927,Roweville,Illinois,69227,Russian Federation,Unemployed,Yes,63239 Juan Circles,Lake Kimberlyport,South Dakota,61530,8220 Rodney Cliffs Apt. 843,East Amanda,Nebraska,52033
166,5535182,Steven,Nunez,2013-06-09,steven.n@northeastern.edu,M,No,2022-10-01,294 Angela Alley,Lake Justin,Washington,76597,Colombia,Employed,No,0351 Wilkins Throughway Suite 323,Kylechester,Utah,55835,42674 William Viaduct,West Trevor,Illinois,77436
167,5763039,Jimmy,Dennis,1907-12-24,jimmy.d@northeastern.edu,F,No,2023-08-03,830 Michael Stream Suite 542,Brianside,Iowa,94042,Poland,Unemployed,No,240 Jackson Corners,Port Crystalland,Idaho,25897,20294 Rivas Camp,North Deborahville,Connecticut,67068
168,4214931,Jeremy,Jones,2002-07-08,jeremy.j@northeastern.edu,M,No,2023-11-17,9759 Linda Wall,North Joshua,New York,26059,Switzerland,Employed,Yes,427 Wilson Hollow,Lake Nicholas,Tennessee,31903,93035 Katherine Valley Apt. 055,Aliport,Mississippi,25817
169,8398776,Kimberly,Sanchez,1995-10-29,kimberly.s@northeastern.edu,F,No,2023-07-13,4664 Brown Gardens,Lake Melissa,Mississippi,57364,British Virgin Islands,Unemployed,No,021 Anthony Springs,Boydshire,California,26963,727 Terry Walk,Port Cynthia,Hawaii,77600
170,3598913,Joseph,Smith,1958-05-06,joseph.s@northeastern.edu,M,No,2024-02-20,237 Robbins Summit,West Andrew,Louisiana,81674,Turks and Caicos Islands,Employed,No,0432 Oneill Villages,South Shawnton,Virginia,29630,10819 James Stream,Port Ronaldmouth,Rhode Island,14471
171,6925788,James,Garcia,1986-12-19,james.g@northeastern.edu,F,No,2022-02-19,3485 Rachel Route,Jasonborough,Indiana,04861,Switzerland,Unemployed,Yes,05318 Christopher Alley,North Robertbury,South Dakota,98133,8096 Jennifer Valleys Suite 943,Port Christinehaven,Utah,44159
172,9633544,Franklin,Gilbert,2009-10-25,franklin.g@northeastern.edu,M,No,2025-10-15,111 David Landing Suite 358,Paulton,North Dakota,29131,Kiribati,Employed,No,3965 Justin Grove Apt. 028,West Meagan,South Carolina,77322,698 Cole Circle Apt. 825,Mariahaven,Missouri,38846
173,5767182,Eric,Andersen,1919-10-06,eric.a@northeastern.edu,F,No,2022-06-23,633 Jeffery Locks Suite 993,Harringtonland,Texas,33588,Macao,Unemployed,No,973 Jones Forks Apt. 524,Pattersonview,New York,69318,503 Hart Green,East April,Utah,08366
174,8424379,Alan,Green,2000-11-15,alan.g@northeastern.edu,M,No,2024-08-29,64797 James Pike,Jeffreyburgh,Texas,47845,Liberia,Employed,Yes,55423 Young Roads Apt. 859,West Hannah,Louisiana,24289,27813 Tina Mall Suite 422,Cookbury,Illinois,02118
175,6251095,Anthony,Davis,2017-03-10,anthony.d@northeastern.edu,F,No,2022-11-02,228 Kelly Greens,East Andrewshire,Vermont,31907,Macao,Unemployed,No,122 Christian Prairie Apt. 075,Lake Amandaville,New Jersey,81486,68524 Edwin Heights,South Nathanielburgh,Connecticut,27717
176,6816080,Catherine,Reese,1918-06-20,catherine.r@northeastern.edu,M,No,2025-01-19,1012 Jeremy Roads Suite 766,Hamptonview,Pennsylvania,08403,Turkey,Employed,No,0933 Andrew Ranch Suite 412,Lake Michael,Georgia,92682,902 Page Street Suite 050,New Christopher,Michigan,58956
177,3893966,Jason,Oliver,2009-05-11,jason.o@northeastern.edu,F,No,2024-01-31,35594 Sarah Rapid Suite 874,Lake Jenniferstad,Montana,60885,Aruba,Unemployed,Yes,3852 Lewis Fields Suite 653,Whiteview,Oklahoma,01005,5826 Charles Common,North Ryan,Iowa,31209
178,5936959,Derrick,Martin,2021-07-30,derrick.m@northeastern.edu,M,No,2022-01-19,2616 Crystal Station,Acostaview,Illinois,09159,Zambia,Employed,No,82929 Rodriguez Plaza Apt. 432,Petersonview,Minnesota,17128,1755 Fisher Skyway Apt. 519,Marissabury,Oklahoma,07085
179,9019809,Charles,Thompson,1908-07-30,charles.t@northeastern.edu,F,No,2025-06-01,122 Johnson Pine Apt. 601,Garciaside,Alabama,12765,Timor-Leste,Unemployed,No,4722 Stevens Trace Apt. 071,West Carlaton,New Mexico,84017,124 Price Roads,Patriciaville,Michigan,31554
180,8713757,Paul,Gilmore,1916-03-25,paul.g@northeastern.edu,M,No,2025-07-18,2728 David Views Apt. 074,East Candice,Massachusetts,81436,Montenegro,Employed,Yes,87732 Jaime Drives,Lake Andreafurt,Iowa,53681,012 Linda Drives Suite 256,Mercerport,Delaware,05013
181,1393792,Juan,Glass,1925-06-11,juan.g@northeastern.edu,F,No,2025-08-08,565 Landry Track Apt. 161,Mejiamouth,California,70106,Belarus,Unemployed,No,6018 Bradley Garden Suite 237,East Jason,Oregon,16614,1167 James View,Calvinville,California,74385
182,4987219,April,Wilson,1963-10-01,april.w@northeastern.edu,M,No,2025-11-29,5916 Porter Haven,Velezhaven,Oklahoma,78826,Cocos (Keeling) Islands,Employed,No,46100 Smith Inlet,South Ethan,Utah,60291,392 Meza Road,Jeffersonville,New York,64265
183,8496218,Sarah,Harris,1963-11-29,sarah.h@northeastern.edu,F,No,2024-10-15,0893 James Passage Suite 891,Natalieberg,Vermont,75190,Saint Pierre and Miquelon,Unemployed,Yes,0079 Tara Lodge Apt. 654,Elizabethland,Connecticut,64631,16070 Mark Hill Apt. 880,Jenniferburgh,New Jersey,81380
184,2388717,Kristin,Flores,2003-10-23,kristin.f@northeastern.edu,M,No,2025-12-17,07684 Kimberly Lane Suite 518,Jacksonborough,Tennessee,76508,Bulgaria,Employed,No,373 Patrick Radial,South Matthew,New Hampshire,69489,176 Dylan Lake,Englishville,South Carolina,33113
185,7610271,Tonya,Oneill,1969-07-06,tonya.o@northeastern.edu,F,No,2024-01-12,2401 Bowen Ford,West Katrina,Hawaii,72776,Guernsey,Unemployed,No,29888 John Roads Suite 322,Feliciatown,Ohio,47666,25787 Thomas Curve Suite 314,North Robert,Connecticut,23830
186,4192059,Alyssa,Cook,2009-03-04,alyssa.c@northeastern.edu,M,No,2025-08-05,4056 Steven Prairie Apt. 787,Lake Lisa,Minnesota,95483,Sri Lanka,Employed,Yes,422 Erik Views Apt. 677,New Jessica,New Mexico,41817,482 Timothy Canyon,Lindabury,Louisiana,82790
