studentNUID,geagraphySK,hometownStudentSK,calendarSK,firstName,lastName,dateOfBirth,email,gender,nationality,livingOnCampus,numberOfCreditCompleted,numberOfCreditsToDegree,graduationDate
3500543,100215,500215,810215,Susan,Walker,1984-03-30,susan.w@northeastern.edu,M,Jamaica,No,12,20,2023-10-11
2893030,100216,500216,810216,Charles,Cooper,1916-02-27,charles.c@northeastern.edu,F,South Africa,No,12,20,2025-12-23
5982431,100217,500217,810217,Bill,Ortiz,1933-01-03,bill.o@northeastern.edu,M,Italy,No,16,16,2022-08-29
4384424,100218,500218,810218,Haley,Bradley,1942-09-19,haley.b@northeastern.edu,F,Kiribati,No,12,20,2022-05-06
9893239,100219,500219,810219,Darius,Collins,1936-08-11,darius.c@northeastern.edu,M,Tonga,No,8,24,2022-01-01
8049630,100220,500220,810220,Kristin,Best,2001-07-11,kristin.b@northeastern.edu,F,Kenya,No,12,20,2022-01-20
6453229,100221,500221,810221,Zachary,Campbell,1920-08-15,zachary.c@northeastern.edu,M,Sierra Leone,No,12,20,2022-06-27
3110513,100222,500222,810222,Michael,Heath,1996-02-12,michael.h@northeastern.edu,F,Korea,No,12,20,2023-05-09
4283550,100223,500223,810223,Sarah,Greene,1929-03-05,sarah.g@northeastern.edu,M,Dominica,No,8,24,2022-08-09
1178632,100224,500224,810224,Felicia,Gordon,1983-04-19,felicia.g@northeastern.edu,F,Tokelau,No,12,20,2023-01-19
8787365,100225,500225,810225,Thomas,Pratt,1998-01-25,thomas.p@northeastern.edu,M,Mexico,No,12,20,2023-01-24
1056242,100226,500226,810226,Allison,Williams,1914-06-20,allison.w@northeastern.edu,F,El Salvador,No,8,24,2025-09-10
4592678,100227,500227,810227,Steven,Velasquez,1927-03-05,steven.v@northeastern.edu,M,Brunei Darussalam,No,12,20,2025-07-17
3138512,100228,500228,810228,Crystal,Harris,1979-11-23,crystal.h@northeastern.edu,F,Comoros,No,16,16,2024-01-24
4152316,100229,500229,810229,Matthew,White,2001-01-30,matthew.w@northeastern.edu,M,San Marino,No,8,24,2024-08-11
6785126,100230,500230,810230,Andrew,Owen,1926-12-31,andrew.o@northeastern.edu,F,Turkey,No,4,28,2022-06-21
4104833,100231,500231,810231,Adam,Chan,1973-05-06,adam.c@northeastern.edu,M,Bahrain,No,8,24,2023-08-24
9241033,100232,500232,810232,Mary,Crosby,1920-01-30,mary.c@northeastern.edu,F,Nicaragua,No,12,20,2022-01-02
7404083,100233,500233,810233,Maria,Conrad,1962-01-25,maria.c@northeastern.edu,M,Mauritius,No,8,24,2025-11-04
9695661,100234,500234,810234,Sonya,Ramos,1922-07-28,sonya.r@northeastern.edu,F,Greece,No,16,16,2025-03-13
5896419,100235,500235,810235,Alexis,Greene,1956-08-07,alexis.g@northeastern.edu,M,Portugal,No,12,20,2025-11-26
9451903,100236,500236,810236,Sandra,Gregory,1954-02-09,sandra.g@northeastern.edu,F,Belgium,No,8,24,2022-01-11
4054535,100237,500237,810237,Angela,Hickman,1998-01-16,angela.h@northeastern.edu,M,Malta,No,16,16,2022-08-04
6341848,100238,500238,810238,Emily,Dunn,1938-06-17,emily.d@northeastern.edu,F,Turks and Caicos Islands,No,12,20,2024-09-23
4832924,100239,500239,810239,Bonnie,Lambert,1971-05-13,bonnie.l@northeastern.edu,M,Poland,No,8,24,2024-08-09
6547198,100240,500240,810240,Sarah,Estes,1998-08-15,sarah.e@northeastern.edu,F,Pakistan,No,8,24,2024-11-24
3959246,100241,500241,810241,Elizabeth,Montoya,2012-07-02,elizabeth.m@northeastern.edu,M,Belgium,No,4,28,2024-06-02
2420836,100242,500242,810242,Larry,Maxwell,1957-10-25,larry.m@northeastern.edu,F,Falkland Islands (Malvinas),No,8,24,2025-08-01
4689306,100243,500243,810243,Elizabeth,Rogers,1985-05-29,elizabeth.r@northeastern.edu,M,Oman,No,16,16,2023-03-27
1623563,100244,500244,810244,Jesse,Williams,1953-12-16,jesse.w@northeastern.edu,F,Jordan,No,4,28,2023-10-06
2138944,100245,500245,810245,Ryan,Nguyen,2009-05-11,ryan.n@northeastern.edu,M,Turkey,No,8,24,2024-12-14
7377725,100246,500246,810246,Katie,Coffey,1954-04-14,katie.c@northeastern.edu,F,Western Sahara,No,8,24,2024-03-02
9367544,100247,500247,810247,Miranda,Zimmerman,2004-06-19,miranda.z@northeastern.edu,M,Bahamas,No,8,24,2025-11-09
2424177,100248,500248,810248,Tracy,Ayers,1972-09-20,tracy.a@northeastern.edu,F,Martinique,No,4,28,2024-08-21
7421632,100249,500249,810249,Alicia,Perez,1941-02-26,alicia.p@northeastern.edu,M,Serbia,No,4,28,2024-11-20
2834882,100250,500250,810250,Christina,Wilkins,1908-01-18,christina.w@northeastern.edu,F,Thailand,No,16,16,2023-04-29
6049714,100251,500251,810251,Anthony,Johnson,1978-01-13,anthony.j@northeastern.edu,M,Mali,No,8,24,2025-02-21
7861706,100252,500252,810252,Shelley,Lewis,1998-09-20,shelley.l@northeastern.edu,F,Barbados,No,16,16,2023-04-23
7579640,100253,500253,810253,Richard,Saunders,1987-03-26,richard.s@northeastern.edu,M,Indonesia,No,8,24,2025-03-16
2374993,100254,500254,810254,Samuel,Mayo,1993-08-05,samuel.m@northeastern.edu,F,Fiji,No,16,16,2022-01-27
3403917,100255,500255,810255,Oscar,Smith,1951-08-03,oscar.s@northeastern.edu,M,Djibouti,No,8,24,2023-10-29
9255640,100256,500256,810256,Jared,Smith,1914-01-22,jared.s@northeastern.edu,F,Pakistan,No,16,16,2023-12-04
3700341,100257,500257,810257,Peter,Cline,1907-09-15,peter.c@northeastern.edu,M,Cook Islands,No,16,16,2024-10-05
3844987,100258,500258,810258,Heather,Russo,1965-02-17,heather.r@northeastern.edu,F,Cambodia,No,4,28,2025-06-02
9309528,100259,500259,810259,Ryan,Smith,1980-08-27,ryan.s@northeastern.edu,M,Iraq,No,8,24,2023-12-07
8867017,100260,500260,810260,Janet,Ellis,1984-01-08,janet.e@northeastern.edu,F,Tajikistan,No,4,28,2024-03-11
4121136,100261,500261,810261,Angela,Henry,1992-03-15,angela.h@northeastern.edu,M,Poland,No,4,28,2022-02-24
7486249,100262,500262,810262,Traci,Brown,1907-08-18,traci.b@northeastern.edu,F,Cuba,No,4,28,2024-02-06
2928624,100263,500263,810263,Joshua,Brown,1958-02-19,joshua.b@northeastern.edu,M,Mali,No,16,16,2024-02-12
2136510,100264,500264,810264,Michael,Roach,2001-03-25,michael.r@northeastern.edu,F,Gibraltar,No,4,28,2022-11-15
4055752,100265,500265,810265,Lawrence,Ramos,1918-11-08,lawrence.r@northeastern.edu,M,Mali,No,12,20,2023-02-12
4436848,100266,500266,810266,Amy,Cruz,1984-03-03,amy.c@northeastern.edu,F,Zambia,No,12,20,2024-10-25
4397611,100267,500267,810267,Christopher,Foley,1991-04-17,christopher.f@northeastern.edu,M,Myanmar,No,16,16,2024-10-31
7280967,100268,500268,810268,Jessica,Dodson,1958-09-21,jessica.d@northeastern.edu,F,Indonesia,No,4,28,2024-11-17
5037011,100269,500269,810269,Pamela,Donaldson,2002-09-18,pamela.d@northeastern.edu,M,Christmas Island,No,4,28,2022-03-20
4666176,100270,500270,810270,Keith,Duke,1965-12-29,keith.d@northeastern.edu,F,Saint Vincent and the Grenadines,No,8,24,2024-05-26
4781976,100271,500271,810271,Michelle,Johnson,1921-11-06,michelle.j@northeastern.edu,M,Kenya,No,4,28,2024-06-21
2205598,100272,500272,810272,Dorothy,Smith,2010-02-10,dorothy.s@northeastern.edu,F,Andorra,No,8,24,2025-08-16
2963243,100273,500273,810273,Christopher,Jacobson,1968-11-29,christopher.j@northeastern.edu,M,Nepal,No,8,24,2023-05-31
9843074,100274,500274,810274,Madison,Elliott,1936-06-09,madison.e@northeastern.edu,F,Netherlands Antilles,No,16,16,2024-09-16
7440433,100275,500275,810275,Lauren,Thomas,1937-11-18,lauren.t@northeastern.edu,M,Philippines,No,8,24,2022-02-14
2008478,100276,500276,810276,Donna,Miller,2010-03-25,donna.m@northeastern.edu,F,Uzbekistan,No,4,28,2025-01-19
7517816,100277,500277,810277,Candace,Johnson,1984-06-23,candace.j@northeastern.edu,M,Saudi Arabia,No,8,24,2022-01-15
4091022,100278,500278,810278,Dana,Cortez,1995-04-17,dana.c@northeastern.edu,F,Kyrgyz Republic,No,4,28,2023-10-01
8203973,100279,500279,810279,Ryan,Alvarado,1909-01-09,ryan.a@northeastern.edu,M,Svalbard & Jan Mayen Islands,No,8,24,2025-05-30
4448009,100280,500280,810280,David,Hughes,2009-03-31,david.h@northeastern.edu,F,Pakistan,No,12,20,2024-02-14
3692212,100281,500281,810281,Patrick,Barnett,1965-01-13,patrick.b@northeastern.edu,M,Denmark,No,8,24,2023-12-19
6637329,100282,500282,810282,Nicholas,Ruiz,2021-07-06,nicholas.r@northeastern.edu,F,Maldives,No,8,24,2025-03-26
3744196,100283,500283,810283,Anthony,Tran,2010-12-06,anthony.t@northeastern.edu,M,Norway,No,4,28,2025-09-14
2282751,100284,500284,810284,Christopher,Hampton,1908-04-23,christopher.h@northeastern.edu,F,Bulgaria,No,8,24,2023-07-17
6245592,100285,500285,810285,Melissa,Campbell,2014-08-05,melissa.c@northeastern.edu,M,Canada,No,8,24,2022-02-06
9181779,100286,500286,810286,Danielle,Garcia,1969-11-12,danielle.g@northeastern.edu,F,Iraq,No,12,20,2025-05-06
7177021,100287,500287,810287,Anthony,Grant,1984-02-16,anthony.g@northeastern.edu,M,Palau,No,8,24,2024-02-18
5371760,100288,500288,810288,Elizabeth,Maxwell,1955-07-07,elizabeth.m@northeastern.edu,F,Argentina,No,8,24,2024-08-21
5004350,100289,500289,810289,Tanya,Carpenter,1974-11-16,tanya.c@northeastern.edu,M,Faroe Islands,No,16,16,2022-08-18
3199042,100290,500290,810290,Ronald,Gibson,2005-04-23,ronald.g@northeastern.edu,F,Burkina Faso,No,12,20,2023-06-15
6100226,100291,500291,810291,Taylor,Moore,2010-01-31,taylor.m@northeastern.edu,M,Bahamas,No,12,20,2023-04-02
9074670,100292,500292,810292,Scott,Hardy,1987-02-13,scott.h@northeastern.edu,F,Botswana,No,8,24,2024-01-08
5433869,100293,500293,810293,Lisa,Tucker,1993-07-09,lisa.t@northeastern.edu,M,Mauritius,No,16,16,2023-05-01
6515019,100294,500294,810294,Deborah,Peterson,1959-04-21,deborah.p@northeastern.edu,F,El Salvador,No,12,20,2024-12-31
5042514,100295,500295,810295,Anthony,Wilcox,1976-11-27,anthony.w@northeastern.edu,M,El Salvador,No,8,24,2024-09-22
4646356,100296,500296,810296,Sarah,Bond,1941-10-15,sarah.b@northeastern.edu,F,Iran,No,8,24,2025-08-09
6639762,100297,500297,810297,Rachel,Ramirez,1951-03-01,rachel.r@northeastern.edu,M,Brazil,No,8,24,2023-06-01
9446080,100298,500298,810298,Donald,Herring,1982-09-30,donald.h@northeastern.edu,F,Canada,No,8,24,2023-12-23
7155293,100299,500299,810299,Jennifer,Austin,1929-10-16,jennifer.a@northeastern.edu,M,Saint Vincent and the Grenadines,No,4,28,2023-05-02
2647027,100300,500300,810300,Drew,Baird,1968-08-08,drew.b@northeastern.edu,F,Grenada,No,4,28,2023-01-22
6200610,100301,500301,810301,Paul,Johnston,1960-10-22,paul.j@northeastern.edu,M,Cocos (Keeling) Islands,No,8,24,2022-08-24
7325299,100302,500302,810302,Adam,Reilly,1967-08-11,adam.r@northeastern.edu,F,Spain,No,16,16,2025-10-02
3648802,100303,500303,810303,Anthony,Harris,1951-08-17,anthony.h@northeastern.edu,M,Christmas Island,No,16,16,2023-11-12
4413412,100304,500304,810304,John,Owens,2004-04-19,john.o@northeastern.edu,F,Germany,No,16,16,2025-07-10
7758872,100305,500305,810305,Deborah,Nunez,2014-10-05,deborah.n@northeastern.edu,M,Philippines,No,8,24,2023-03-05
2523049,100306,500306,810306,Karen,Moore,2002-11-18,karen.m@northeastern.edu,F,Kuwait,No,8,24,2024-07-14
6476265,100307,500307,810307,Megan,Hamilton,1924-03-25,megan.h@northeastern.edu,M,Sao Tome and Principe,No,8,24,2024-07-26
1530663,100308,500308,810308,Kayla,Salazar,1912-09-06,kayla.s@northeastern.edu,F,Nicaragua,No,12,20,2024-09-18
4501298,100309,500309,810309,Anthony,Moss,1957-07-18,anthony.m@northeastern.edu,M,Saudi Arabia,No,16,16,2023-04-19
3274339,100310,500310,810310,Phillip,Wheeler,1919-02-08,phillip.w@northeastern.edu,F,China,No,4,28,2022-09-18
3161385,100311,500311,810311,Stephanie,Smith,1954-05-30,stephanie.s@northeastern.edu,M,Panama,No,4,28,2024-12-15
7583936,100312,500312,810312,Stephen,Hawkins,1929-12-09,stephen.h@northeastern.edu,F,Lebanon,No,8,24,2024-03-08
9088444,100313,500313,810313,Jose,Martin,1912-04-04,jose.m@northeastern.edu,M,Congo,No,16,16,2025-07-15
8328206,100314,500314,810314,Clifford,Tyler,2004-03-02,clifford.t@northeastern.edu,F,Ghana,No,16,16,2022-04-02
1146516,100315,500315,810315,Wesley,Leonard,1953-12-01,wesley.l@northeastern.edu,M,Gabon,No,4,28,2024-11-23
4410341,100316,500316,810316,Nicole,Fernandez,1998-07-26,nicole.f@northeastern.edu,F,Togo,No,8,24,2024-02-21
1180179,100317,500317,810317,Jean,Weaver,1943-07-26,jean.w@northeastern.edu,M,Guadeloupe,No,16,16,2024-10-25
6689427,100318,500318,810318,Kayla,Rodriguez,1933-06-14,kayla.r@northeastern.edu,F,Slovakia (Slovak Republic),No,12,20,2025-08-07
6013734,100319,500319,810319,Courtney,Harris,1912-12-02,courtney.h@northeastern.edu,M,Norfolk Island,No,16,16,2023-03-17
5500672,100320,500320,810320,Jacob,Daniels,1914-06-21,jacob.d@northeastern.edu,F,Serbia,No,8,24,2022-05-27
6626345,100321,500321,810321,Katelyn,Phillips,2015-01-27,katelyn.p@northeastern.edu,M,Christmas Island,No,8,24,2024-01-02
3890142,100322,500322,810322,Jeffery,Riggs,1982-04-11,jeffery.r@northeastern.edu,F,Yemen,No,12,20,2024-11-05
7664765,100323,500323,810323,Ryan,Stewart,1951-09-28,ryan.s@northeastern.edu,M,Pakistan,No,4,28,2023-01-03
8967095,100324,500324,810324,Michelle,Fisher,1930-01-13,michelle.f@northeastern.edu,F,Cyprus,No,4,28,2023-04-29
5886875,100325,500325,810325,Lisa,Perez,1942-12-09,lisa.p@northeastern.edu,M,Western Sahara,No,16,16,2025-02-16
5839402,100326,500326,810326,Amber,Stevens,1939-02-26,amber.s@northeastern.edu,F,Saint Helena,No,16,16,2024-06-22
2406159,100327,500327,810327,Richard,Jones,1929-11-04,richard.j@northeastern.edu,M,Sri Lanka,No,8,24,2025-09-21
3594830,100328,500328,810328,Charles,Williams,1924-01-01,charles.w@northeastern.edu,F,Panama,No,12,20,2024-12-13
7370615,100329,500329,810329,Kelly,Shaw,1990-01-20,kelly.s@northeastern.edu,M,San Marino,No,12,20,2023-07-26
8852356,100330,500330,810330,Michael,Miller,1915-12-22,michael.m@northeastern.edu,F,Mozambique,No,16,16,2024-07-27
6476944,100331,500331,810331,Paul,Hawkins,1968-07-10,paul.h@northeastern.edu,M,Bosnia and Herzegovina,No,8,24,2022-04-16
4578443,100332,500332,810332,Melissa,Pham,1932-03-12,melissa.p@northeastern.edu,F,Nauru,No,12,20,2025-07-02
3522353,100333,500333,810333,Derek,Howard,1943-10-27,derek.h@northeastern.edu,M,Antigua and Barbuda,No,12,20,2025-12-02
7347499,100334,500334,810334,Lindsey,Richardson,1940-02-03,lindsey.r@northeastern.edu,F,Gabon,No,16,16,2023-02-16
7766460,100335,500335,810335,Cynthia,Clark,2011-01-30,cynthia.c@northeastern.edu,M,Afghanistan,No,8,24,2023-03-26
3675786,100336,500336,810336,Alec,Villanueva,1919-06-10,alec.v@northeastern.edu,F,Macao,No,12,20,2022-10-03
9430534,100337,500337,810337,Kevin,Ramirez,1914-08-13,kevin.r@northeastern.edu,M,Macedonia,No,4,28,2022-02-20
6002102,100338,500338,810338,Michael,Hodge,2006-10-03,michael.h@northeastern.edu,F,Cocos (Keeling) Islands,No,12,20,2025-06-16
2442743,100339,500339,810339,Aaron,Morales,1996-11-19,aaron.m@northeastern.edu,M,Sudan,No,16,16,2022-06-14
7021735,100340,500340,810340,Jessica,Jones,1970-04-05,jessica.j@northeastern.edu,F,San Marino,No,12,20,2024-02-19
3059270,100341,500341,810341,Cheyenne,Torres,1971-06-08,cheyenne.t@northeastern.edu,M,Somalia,No,16,16,2025-04-03
2406234,100342,500342,810342,Jessica,Rios,1905-12-29,jessica.r@northeastern.edu,F,Angola,No,12,20,2025-10-10
8891024,100343,500343,810343,Jennifer,Mclaughlin,1910-12-26,jennifer.m@northeastern.edu,M,Cuba,No,8,24,2024-06-27
2738643,100344,500344,810344,Kylie,Andrade,1966-05-07,kylie.a@northeastern.edu,F,Puerto Rico,No,12,20,2023-01-03
5763697,100345,500345,810345,Susan,Roy,2018-11-30,susan.r@northeastern.edu,M,Somalia,No,12,20,2025-06-10
8067351,100346,500346,810346,Rebecca,Rangel,2001-03-27,rebecca.r@northeastern.edu,F,Guatemala,No,8,24,2025-11-22
2059268,100347,500347,810347,Leah,Russo,2008-08-18,leah.r@northeastern.edu,M,Philippines,No,4,28,2022-10-22
6388479,100348,500348,810348,John,Gray,2012-09-09,john.g@northeastern.edu,F,Korea,No,16,16,2025-11-03
1809546,100349,500349,810349,Kelli,Mercado,1907-04-23,kelli.m@northeastern.edu,M,Paraguay,No,8,24,2024-04-13
2610106,100350,500350,810350,Leah,Jenkins,1926-02-14,leah.j@northeastern.edu,F,Sweden,No,12,20,2024-04-15
7211534,100351,500351,810351,Ryan,Drake,1936-10-28,ryan.d@northeastern.edu,M,Netherlands Antilles,No,12,20,2025-06-02
1463282,100352,500352,810352,Morgan,Holt,1922-09-26,morgan.h@northeastern.edu,F,Libyan Arab Jamahiriya,No,12,20,2024-08-09
8436528,100353,500353,810353,Randy,Jones,1925-05-15,randy.j@northeastern.edu,M,Wallis and Futuna,No,8,24,2024-09-10
5975853,100354,500354,810354,Michael,Scott,1927-01-10,michael.s@northeastern.edu,F,Palau,No,8,24,2022-04-05
5118905,100355,500355,810355,Taylor,Johnson,2006-06-25,taylor.j@northeastern.edu,M,Sweden,No,16,16,2023-08-19
6865978,100356,500356,810356,John,Phelps,1977-11-29,john.p@northeastern.edu,F,Congo,No,4,28,2024-05-17
3449086,100357,500357,810357,Tricia,Rivera,2010-10-12,tricia.r@northeastern.edu,M,India,No,12,20,2023-09-27
1974646,100358,500358,810358,Tyler,Davis,2004-09-12,tyler.d@northeastern.edu,F,Pitcairn Islands,No,4,28,2024-06-06
2518290,100359,500359,810359,Breanna,Levine,1954-03-05,breanna.l@northeastern.edu,M,Mexico,No,16,16,2022-09-30
1117324,100360,500360,810360,Steven,Perez,1909-06-28,steven.p@northeastern.edu,F,Nicaragua,No,12,20,2022-02-04
1204260,100361,500361,810361,Bryce,Rogers,1997-01-16,bryce.r@northeastern.edu,M,Netherlands Antilles,No,4,28,2024-10-21
9145982,100362,500362,810362,Janet,Martinez,2000-04-18,janet.m@northeastern.edu,F,Peru,No,12,20,2022-02-20
5470298,100363,500363,810363,Andrew,Munoz,1990-11-10,andrew.m@northeastern.edu,M,Cuba,No,8,24,2022-09-10
9856210,100364,500364,810364,Garrett,Brown,1934-04-05,garrett.b@northeastern.edu,F,Latvia,No,12,20,2024-06-20
5425199,100365,500365,810365,Curtis,Rios,1987-07-28,curtis.r@northeastern.edu,M,Russian Federation,No,4,28,2023-03-25
8066117,100366,500366,810366,Isaac,Sherman,1976-10-05,isaac.s@northeastern.edu,F,Belgium,No,16,16,2023-05-01
6710200,100367,500367,810367,Catherine,Collins,2002-07-11,catherine.c@northeastern.edu,M,Northern Mariana Islands,No,12,20,2024-05-15
5969102,100368,500368,810368,Danny,Walters,1906-09-03,danny.w@northeastern.edu,F,Denmark,No,4,28,2023-04-22
2226683,100369,500369,810369,Edwin,Keith,1937-04-07,edwin.k@northeastern.edu,M,Nauru,No,4,28,2024-02-23
3455453,100370,500370,810370,Laura,Bean,1911-08-24,laura.b@northeastern.edu,F,Saint Pierre and Miquelon,No,12,20,2025-08-19
7354262,100371,500371,810371,Nicole,Gomez,1999-01-16,nicole.g@northeastern.edu,M,Bermuda,No,4,28,2024-09-11
1026806,100372,500372,810372,Marissa,Holland,1911-05-29,marissa.h@northeastern.edu,F,Isle of Man,No,4,28,2024-09-22
5907389,100373,500373,810373,Michele,Warren,1947-05-19,michele.w@northeastern.edu,M,Guam,No,12,20,2022-01-03
4160286,100374,500374,810374,Richard,Walker,1960-01-06,richard.w@northeastern.edu,F,Germany,No,4,28,2022-03-15
2685420,100375,500375,810375,Erin,Quinn,1977-11-26,erin.q@northeastern.edu,M,Brunei Darussalam,No,12,20,2023-01-08
6369545,100376,500376,810376,Lisa,Ryan,1949-05-12,lisa.r@northeastern.edu,F,Kyrgyz Republic,No,8,24,2023-02-08
1802762,100377,500377,810377,Michael,Villegas,1996-06-09,michael.v@northeastern.edu,M,Jamaica,No,12,20,2025-05-30
6676122,100378,500378,810378,Joshua,Rosales,1943-06-17,joshua.r@northeastern.edu,F,French Guiana,No,12,20,2022-06-24
6610832,100379,500379,810379,Ronald,King,1964-10-21,ronald.k@northeastern.edu,M,Faroe Islands,No,12,20,2024-08-04
4069372,100380,500380,810380,Alexis,Howell,1995-06-13,alexis.h@northeastern.edu,F,Ghana,No,4,28,2023-05-27
7375841,100381,500381,810381,Christina,Fisher,1936-07-24,christina.f@northeastern.edu,M,Chad,No,12,20,2022-01-31
4409647,100382,500382,810382,Melissa,Smith,1993-12-22,melissa.s@northeastern.edu,F,Bulgaria,No,4,28,2024-10-13
4587218,100383,500383,810383,Kristopher,Edwards,1917-10-15,kristopher.e@northeastern.edu,M,Iraq,No,4,28,2025-04-12
5037577,100384,500384,810384,Johnathan,Barnett,2020-09-20,johnathan.b@northeastern.edu,F,Barbados,No,8,24,2025-11-01
1844436,100385,500385,810385,Deanna,Miller,1948-09-01,deanna.m@northeastern.edu,M,Comoros,No,16,16,2024-08-08
3253928,100386,500386,810386,Tiffany,Patton,2015-08-25,tiffany.p@northeastern.edu,F,South Africa,No,16,16,2023-10-08
6290616,100387,500387,810387,Donna,Torres,1967-07-11,donna.t@northeastern.edu,M,Korea,No,4,28,2023-02-05
7305125,100388,500388,810388,George,Noble,1973-06-12,george.n@northeastern.edu,F,French Polynesia,No,4,28,2024-12-28
7710870,100389,500389,810389,Kathryn,Carr,1978-09-01,kathryn.c@northeastern.edu,M,Greenland,No,8,24,2022-05-28
1371287,100390,500390,810390,Marilyn,Bray,1987-08-02,marilyn.b@northeastern.edu,F,Somalia,No,8,24,2025-10-27
3537255,100391,500391,810391,Robin,Byrd,1930-10-10,robin.b@northeastern.edu,M,Maldives,No,16,16,2023-04-12
8674116,100392,500392,810392,Charles,Harrison,2017-01-25,charles.h@northeastern.edu,F,Norfolk Island,No,12,20,2025-10-31
4047896,100393,500393,810393,Christina,Williams,1915-10-08,christina.w@northeastern.edu,M,Morocco,No,8,24,2022-08-17
2512397,100394,500394,810394,Bradley,Cowan,1956-03-15,bradley.c@northeastern.edu,F,Korea,No,8,24,2024-10-29
5034166,100395,500395,810395,Gregory,Cobb,1936-04-08,gregory.c@northeastern.edu,M,Liechtenstein,No,4,28,2022-07-16
3330167,100396,500396,810396,William,Murphy,1917-04-29,william.m@northeastern.edu,F,Cocos (Keeling) Islands,No,4,28,2024-04-27
8979312,100397,500397,810397,Tammy,Garcia,1968-03-04,tammy.g@northeastern.edu,M,Samoa,No,12,20,2022-06-03
7106067,100398,500398,810398,Samuel,Christensen,1910-12-30,samuel.c@northeastern.edu,F,Puerto Rico,No,4,28,2024-07-07
9229471,100399,500399,810399,William,Carr,1936-03-21,william.c@northeastern.edu,M,Cayman Islands,No,8,24,2022-10-01
1675071,100400,500400,810400,Jessica,Anderson,1960-01-25,jessica.a@northeastern.edu,F,Cook Islands,No,12,20,2023-02-15
7420592,100401,500401,810401,Mariah,Peterson,1962-08-28,mariah.p@northeastern.edu,M,Liberia,No,4,28,2025-08-26
8788285,100402,500402,810402,Mathew,Smith,1921-12-12,mathew.s@northeastern.edu,F,Tuvalu,No,4,28,2024-03-27
9202329,100403,500403,810403,Kathy,Cole,1993-05-02,kathy.c@northeastern.edu,M,Latvia,No,8,24,2023-09-10
7028882,100404,500404,810404,Stephanie,Rivera,1922-12-29,stephanie.r@northeastern.edu,F,American Samoa,No,12,20,2024-12-05
3484864,100405,500405,810405,Jamie,Williams,1944-06-09,jamie.w@northeastern.edu,M,French Guiana,No,12,20,2022-03-17
1520377,100406,500406,810406,Curtis,Miranda,2004-04-24,curtis.m@northeastern.edu,F,Anguilla,No,12,20,2025-08-04
7986326,100407,500407,810407,David,Kidd,1938-06-17,david.k@northeastern.edu,M,Philippines,No,12,20,2025-02-03
8344494,100408,500408,810408,Brian,Williams,1917-09-14,brian.w@northeastern.edu,F,Venezuela,No,4,28,2022-09-14
5180565,100409,500409,810409,Katie,Jones,1984-12-23,katie.j@northeastern.edu,M,Pitcairn Islands,No,8,24,2023-05-05
7572758,100410,500410,810410,Leah,Thompson,1996-05-26,leah.t@northeastern.edu,F,Saint Kitts and Nevis,No,12,20,2024-03-28
9811017,100411,500411,810411,Jennifer,Fleming,1977-06-24,jennifer.f@northeastern.edu,M,Egypt,No,4,28,2024-11-03
6579058,100412,500412,810412,Courtney,Clark,1986-04-28,courtney.c@northeastern.edu,F,Bahamas,No,16,16,2024-10-24
9323059,100413,500413,810413,Brandon,West,1926-09-30,brandon.w@northeastern.edu,M,Korea,No,16,16,2023-10-06
4576782,100414,500414,810414,David,Mills,1914-02-26,david.m@northeastern.edu,F,Holy See (Vatican City State),No,8,24,2023-09-03
9494340,100415,500415,810415,Amber,Lewis,1954-09-30,amber.l@northeastern.edu,M,Vanuatu,No,4,28,2023-08-21
2567846,100416,500416,810416,Caitlin,Smith,1948-12-15,caitlin.s@northeastern.edu,F,New Caledonia,No,4,28,2023-12-04
8829487,100417,500417,810417,Marc,Reyes,1937-04-26,marc.r@northeastern.edu,M,Finland,No,16,16,2025-02-28
1248192,100418,500418,810418,Aaron,Ellis,1966-10-15,aaron.e@northeastern.edu,F,Bangladesh,No,16,16,2022-02-22
1403579,100419,500419,810419,Andrew,White,1986-04-05,andrew.w@northeastern.edu,M,Poland,No,4,28,2023-06-08
6718073,100420,500420,810420,Stephanie,Johnson,1910-07-02,stephanie.j@northeastern.edu,F,Congo,No,16,16,2025-12-02
6681187,100421,500421,810421,Hannah,Camacho,2013-02-09,hannah.c@northeastern.edu,M,Netherlands,No,12,20,2025-08-08
3644647,100422,500422,810422,Jacob,Wilson,1996-11-19,jacob.w@northeastern.edu,F,Spain,No,16,16,2025-01-19
7205067,100423,500423,810423,Robin,Santiago,1990-04-25,robin.s@northeastern.edu,M,Tajikistan,No,8,24,2025-06-12
4911879,100424,500424,810424,Anthony,Smith,1934-11-08,anthony.s@northeastern.edu,F,Pakistan,No,16,16,2023-02-26
8825566,100425,500425,810425,Amy,Morgan,1928-11-28,amy.m@northeastern.edu,M,Antigua and Barbuda,No,8,24,2022-10-05
7752350,100426,500426,810426,Alexandra,Campbell,1909-06-08,alexandra.c@northeastern.edu,F,Mexico,No,12,20,2024-06-15
1283850,100427,500427,810427,Erin,Lee,1949-02-15,erin.l@northeastern.edu,M,Ghana,No,16,16,2022-06-06
7660806,100428,500428,810428,David,Johnson,1925-04-01,david.j@northeastern.edu,F,Saint Helena,No,12,20,2023-02-24
6640078,100429,500429,810429,Thomas,Harrell,2013-02-22,thomas.h@northeastern.edu,M,Norfolk Island,No,8,24,2022-05-16
